Date;Humidity (in %);Temperature (in °C)
'2018-04-28T23:00:00Z';0.67;19.5
'2018-04-29T00:00:00Z';0.72;18.1
'2018-04-29T01:00:00Z';0.74;17.5
'2018-04-29T02:00:00Z';0.72;17.2
'2018-04-29T03:00:00Z';0.71;16.7
'2018-04-29T04:00:00Z';0.71;16.2
'2018-04-29T05:00:00Z';0.81;14.4
'2018-04-29T06:00:00Z';0.83;14.0
'2018-04-29T07:00:00Z';0.84;14.7
'2018-04-29T08:00:00Z';0.76;16.9
'2018-04-29T09:00:00Z';0.63;19.8
'2018-04-29T10:00:00Z';0.56;22.0
'2018-04-29T11:00:00Z';0.51;24.4
'2018-04-29T12:00:00Z';0.49;25.6
'2018-04-29T13:00:00Z';0.42;24.4
'2018-04-29T14:00:00Z';0.29;26.6
'2018-04-29T15:00:00Z';0.27;28.6
'2018-04-29T16:00:00Z';0.27;28.9
'2018-04-29T17:00:00Z';0.29;28.6
'2018-04-29T18:00:00Z';0.29;27.7
'2018-04-29T19:00:00Z';0.33;26.5
'2018-04-29T20:00:00Z';0.39;25.0
'2018-04-29T21:00:00Z';0.43;23.5
'2018-04-29T22:00:00Z';0.50;22.2
'2018-04-29T23:00:00Z';0.50;21.2
'2018-04-30T00:00:00Z';0.52;20.9
'2018-04-30T01:00:00Z';0.55;19.6
'2018-04-30T02:00:00Z';0.61;17.8
'2018-04-30T03:00:00Z';0.66;16.9
'2018-04-30T04:00:00Z';0.67;16.3
'2018-04-30T05:00:00Z';0.70;15.7
'2018-04-30T06:00:00Z';0.73;15.2
'2018-04-30T07:00:00Z';0.59;18.4
'2018-04-30T08:00:00Z';0.54;19.8
'2018-04-30T09:00:00Z';0.47;22.3
'2018-04-30T10:00:00Z';0.44;23.8
'2018-04-30T11:00:00Z';0.40;24.1
'2018-04-30T12:00:00Z';0.41;25.4
'2018-04-30T13:00:00Z';0.33;26.9
'2018-04-30T14:00:00Z';0.39;26.1
'2018-04-30T15:00:00Z';0.34;26.7
'2018-04-30T16:00:00Z';0.37;27.2
'2018-04-30T17:00:00Z';0.31;26.9
'2018-04-30T18:00:00Z';0.31;25.8
'2018-04-30T19:00:00Z';0.32;24.4
'2018-04-30T20:00:00Z';0.34;23.0
'2018-04-30T21:00:00Z';0.39;21.0
'2018-04-30T22:00:00Z';0.38;19.9
'2018-04-30T23:00:00Z';0.53;17.2
'2018-05-01T00:00:00Z';0.60;16.0
'2018-05-01T01:00:00Z';0.62;15.7
'2018-05-01T02:00:00Z';0.65;15.0
'2018-05-01T03:00:00Z';0.66;14.4
'2018-05-01T04:00:00Z';0.57;15.4
'2018-05-01T05:00:00Z';0.55;15.6
'2018-05-01T06:00:00Z';0.59;14.8
'2018-05-01T07:00:00Z';0.59;14.7
'2018-05-01T08:00:00Z';0.52;16.0
'2018-05-01T09:00:00Z';0.48;17.1
'2018-05-01T10:00:00Z';0.45;18.2
'2018-05-01T11:00:00Z';0.43;19.7
'2018-05-01T12:00:00Z';0.43;20.2
'2018-05-01T13:00:00Z';0.41;21.0
'2018-05-01T14:00:00Z';0.41;21.0
'2018-05-01T15:00:00Z';0.40;21.8
'2018-05-01T16:00:00Z';0.41;23.0
'2018-05-01T17:00:00Z';0.39;22.7
'2018-05-01T18:00:00Z';0.40;21.7
'2018-05-01T19:00:00Z';0.41;21.1
'2018-05-01T20:00:00Z';0.46;19.8
'2018-05-01T21:00:00Z';0.49;19.1
'2018-05-01T22:00:00Z';0.52;18.4
'2018-05-01T23:00:00Z';0.58;16.6
'2018-05-02T00:00:00Z';0.54;16.7
'2018-05-02T01:00:00Z';0.58;16.1
'2018-05-02T02:00:00Z';0.64;15.5
'2018-05-02T03:00:00Z';0.66;14.7
'2018-05-02T04:00:00Z';0.69;13.7
'2018-05-02T05:00:00Z';0.75;13.3
'2018-05-02T06:00:00Z';0.69;13.4
'2018-05-02T07:00:00Z';0.74;13.3
'2018-05-02T08:00:00Z';0.65;16.5
'2018-05-02T09:00:00Z';0.61;19.3
'2018-05-02T10:00:00Z';0.58;21.2
'2018-05-02T11:00:00Z';0.56;22.5
'2018-05-02T12:00:00Z';0.54;23.5
'2018-05-02T13:00:00Z';0.54;24.4
'2018-05-02T14:00:00Z';0.56;24.1
'2018-05-02T15:00:00Z';0.52;25.7
'2018-05-02T16:00:00Z';0.55;24.9
'2018-05-02T17:00:00Z';0.56;25.1
'2018-05-02T18:00:00Z';0.58;23.8
'2018-05-02T19:00:00Z';0.67;22.4
'2018-05-02T20:00:00Z';0.69;22.1
'2018-05-02T21:00:00Z';0.70;19.1
'2018-05-02T22:00:00Z';0.71;18.1
'2018-05-02T23:00:00Z';0.92;15.4
'2018-05-03T00:00:00Z';0.93;15.3
'2018-05-03T01:00:00Z';0.94;14.9
'2018-05-03T02:00:00Z';0.96;15.0
'2018-05-03T03:00:00Z';0.96;14.4
'2018-05-03T04:00:00Z';0.96;14.1
'2018-05-03T05:00:00Z';0.97;13.7
'2018-05-03T06:00:00Z';0.97;13.4
'2018-05-03T07:00:00Z';0.95;14.7
'2018-05-03T08:00:00Z';0.85;16.9
'2018-05-03T09:00:00Z';0.72;19.2
'2018-05-03T10:00:00Z';0.72;20.5
'2018-05-03T11:00:00Z';0.66;21.7
'2018-05-03T12:00:00Z';0.65;22.8
'2018-05-03T13:00:00Z';0.60;23.3
'2018-05-03T14:00:00Z';0.54;24.6
'2018-05-03T15:00:00Z';0.52;24.9
'2018-05-03T16:00:00Z';0.41;26.3
'2018-05-03T17:00:00Z';0.43;27.4
'2018-05-03T18:00:00Z';0.44;26.2
'2018-05-03T19:00:00Z';0.50;24.5
'2018-05-03T20:00:00Z';0.59;22.4
'2018-05-03T21:00:00Z';0.64;21.1
'2018-05-03T22:00:00Z';0.66;20.6
'2018-05-03T23:00:00Z';0.72;19.6
'2018-05-04T00:00:00Z';0.72;18.8
'2018-05-04T01:00:00Z';0.76;18.0
'2018-05-04T02:00:00Z';0.79;17.0
'2018-05-04T03:00:00Z';0.81;16.4
'2018-05-04T04:00:00Z';0.82;15.8
'2018-05-04T05:00:00Z';0.82;15.5
'2018-05-04T06:00:00Z';0.80;15.6
'2018-05-04T07:00:00Z';0.80;15.8
'2018-05-04T08:00:00Z';0.78;16.4
'2018-05-04T09:00:00Z';0.76;16.9
'2018-05-04T10:00:00Z';0.72;18.6
'2018-05-04T11:00:00Z';0.68;19.3
'2018-05-04T12:00:00Z';0.66;20.1
'2018-05-04T13:00:00Z';0.62;21.1
'2018-05-04T14:00:00Z';0.62;21.6
'2018-05-04T15:00:00Z';0.57;23.0
'2018-05-04T16:00:00Z';0.53;23.6
'2018-05-04T17:00:00Z';0.54;23.2
'2018-05-04T18:00:00Z';0.55;22.6
'2018-05-04T19:00:00Z';0.56;21.2
'2018-05-04T20:00:00Z';0.62;19.6
'2018-05-04T21:00:00Z';0.66;18.2
'2018-05-04T22:00:00Z';0.69;17.5
'2018-05-04T23:00:00Z';0.72;16.8
'2018-05-05T00:00:00Z';0.72;16.4
'2018-05-05T01:00:00Z';0.73;16.1
'2018-05-05T02:00:00Z';0.75;15.4
'2018-05-05T03:00:00Z';0.76;15.2
'2018-05-05T04:00:00Z';0.77;14.8
'2018-05-05T05:00:00Z';0.80;14.1
'2018-05-05T06:00:00Z';0.80;13.9
'2018-05-05T07:00:00Z';0.76;14.6
'2018-05-05T08:00:00Z';0.73;15.1
'2018-05-05T09:00:00Z';0.68;16.3
'2018-05-05T10:00:00Z';0.70;16.3
'2018-05-05T11:00:00Z';0.66;18.1
'2018-05-05T12:00:00Z';0.60;19.8
'2018-05-05T13:00:00Z';0.56;20.9
'2018-05-05T14:00:00Z';0.52;22.0
'2018-05-05T15:00:00Z';0.49;22.0
'2018-05-05T16:00:00Z';0.48;22.7
'2018-05-05T17:00:00Z';0.43;21.8
'2018-05-05T18:00:00Z';0.40;21.5
'2018-05-05T19:00:00Z';0.42;20.5
'2018-05-05T20:00:00Z';0.41;19.1
'2018-05-05T21:00:00Z';0.43;18.0
'2018-05-05T22:00:00Z';0.38;17.2
'2018-05-05T23:00:00Z';0.37;16.3
'2018-05-06T00:00:00Z';0.38;15.4
'2018-05-06T01:00:00Z';0.37;15.0
'2018-05-06T02:00:00Z';0.39;14.1
'2018-05-06T03:00:00Z';0.42;13.5
'2018-05-06T04:00:00Z';0.46;12.6
'2018-05-06T05:00:00Z';0.48;12.3
'2018-05-06T06:00:00Z';0.49;12.3
'2018-05-06T07:00:00Z';0.49;12.8
'2018-05-06T08:00:00Z';0.48;13.9
'2018-05-06T09:00:00Z';0.47;15.6
'2018-05-06T10:00:00Z';0.44;17.1
'2018-05-06T11:00:00Z';0.39;19.0
'2018-05-06T12:00:00Z';0.36;20.1
'2018-05-06T13:00:00Z';0.34;20.5
'2018-05-06T14:00:00Z';0.30;21.6
'2018-05-06T15:00:00Z';0.31;22.4
'2018-05-06T16:00:00Z';0.27;22.7
'2018-05-06T17:00:00Z';0.34;22.6
'2018-05-06T18:00:00Z';0.36;21.5
'2018-05-06T19:00:00Z';0.38;20.5
'2018-05-06T20:00:00Z';0.40;19.4
'2018-05-06T21:00:00Z';0.42;18.7
'2018-05-06T22:00:00Z';0.44;17.9
'2018-05-06T23:00:00Z';0.45;17.0
'2018-05-07T00:00:00Z';0.46;16.7
'2018-05-07T01:00:00Z';0.48;16.2
'2018-05-07T02:00:00Z';0.53;14.7
'2018-05-07T03:00:00Z';0.56;14.0
'2018-05-07T04:00:00Z';0.60;13.1
'2018-05-07T05:00:00Z';0.66;11.8
'2018-05-07T06:00:00Z';0.64;12.1
'2018-05-07T07:00:00Z';0.58;13.9
'2018-05-07T08:00:00Z';0.55;14.8
'2018-05-07T09:00:00Z';0.50;16.0
'2018-05-07T10:00:00Z';0.48;17.6
'2018-05-07T11:00:00Z';0.47;19.2
'2018-05-07T12:00:00Z';0.44;20.0
'2018-05-07T13:00:00Z';0.41;21.0
'2018-05-07T14:00:00Z';0.37;22.4
'2018-05-07T15:00:00Z';0.32;24.0
'2018-05-07T16:00:00Z';0.28;24.3
'2018-05-07T17:00:00Z';0.28;25.0
'2018-05-07T18:00:00Z';0.31;23.9
'2018-05-07T19:00:00Z';0.33;22.4
'2018-05-07T20:00:00Z';0.36;20.8
'2018-05-07T21:00:00Z';0.40;19.4
'2018-05-07T22:00:00Z';0.40;18.7
'2018-05-07T23:00:00Z';0.41;18.5
'2018-05-08T00:00:00Z';0.44;17.6
'2018-05-08T01:00:00Z';0.42;17.4
'2018-05-08T02:00:00Z';0.44;16.5
'2018-05-08T03:00:00Z';0.46;16.0
'2018-05-08T04:00:00Z';0.48;15.1
'2018-05-08T05:00:00Z';0.52;14.4
'2018-05-08T06:00:00Z';0.55;14.0
'2018-05-08T07:00:00Z';0.59;14.3
'2018-05-08T08:00:00Z';0.53;16.5
'2018-05-08T09:00:00Z';0.49;18.3
'2018-05-08T10:00:00Z';0.53;18.4
'2018-05-08T11:00:00Z';0.53;18.6
'2018-05-08T12:00:00Z';0.48;20.9
'2018-05-08T13:00:00Z';0.41;23.2
'2018-05-08T14:00:00Z';0.41;22.6
'2018-05-08T15:00:00Z';0.39;23.0
'2018-05-08T16:00:00Z';0.34;24.1
'2018-05-08T17:00:00Z';0.60;19.5
'2018-05-08T18:00:00Z';0.54;20.8
'2018-05-08T19:00:00Z';0.86;13.7
'2018-05-08T20:00:00Z';0.90;12.8
'2018-05-08T21:00:00Z';0.94;12.1
'2018-05-08T22:00:00Z';0.95;12.2
'2018-05-08T23:00:00Z';0.96;11.7
'2018-05-09T00:00:00Z';0.96;11.5
'2018-05-09T01:00:00Z';0.97;11.2
'2018-05-09T02:00:00Z';0.97;11.2
'2018-05-09T03:00:00Z';0.97;11.1
'2018-05-09T04:00:00Z';0.97;11.2
'2018-05-09T05:00:00Z';0.97;10.7
'2018-05-09T06:00:00Z';0.97;10.7
'2018-05-09T07:00:00Z';0.96;12.0
'2018-05-09T08:00:00Z';0.89;14.2
'2018-05-09T09:00:00Z';0.77;16.8
'2018-05-09T10:00:00Z';0.74;18.4
'2018-05-09T11:00:00Z';0.62;20.0
'2018-05-09T12:00:00Z';0.59;21.3
'2018-05-09T13:00:00Z';0.53;22.6
'2018-05-09T14:00:00Z';0.49;24.0
'2018-05-09T15:00:00Z';0.49;24.5
'2018-05-09T16:00:00Z';0.43;24.4
'2018-05-09T17:00:00Z';0.58;22.4
'2018-05-09T18:00:00Z';0.54;22.4
'2018-05-09T19:00:00Z';0.62;21.5
'2018-05-09T20:00:00Z';0.67;20.1
'2018-05-09T21:00:00Z';0.75;18.3
'2018-05-09T22:00:00Z';0.83;17.2
'2018-05-09T23:00:00Z';0.87;16.2
'2018-05-10T00:00:00Z';0.91;15.3
'2018-05-10T01:00:00Z';0.92;14.8
'2018-05-10T02:00:00Z';0.94;14.4
'2018-05-10T03:00:00Z';0.95;14.4
'2018-05-10T04:00:00Z';0.95;14.3
'2018-05-10T05:00:00Z';0.96;13.5
'2018-05-10T06:00:00Z';0.96;13.7
'2018-05-10T07:00:00Z';0.93;15.3
'2018-05-10T08:00:00Z';0.79;17.0
'2018-05-10T09:00:00Z';0.72;19.0
'2018-05-10T10:00:00Z';0.67;20.7
'2018-05-10T11:00:00Z';0.62;21.8
'2018-05-10T12:00:00Z';0.61;23.0
'2018-05-10T13:00:00Z';0.55;23.7
'2018-05-10T14:00:00Z';0.58;23.4
'2018-05-10T15:00:00Z';0.55;23.8
'2018-05-10T16:00:00Z';0.54;24.7
'2018-05-10T17:00:00Z';0.54;24.6
'2018-05-10T18:00:00Z';0.54;24.4
'2018-05-10T19:00:00Z';0.76;21.3
'2018-05-10T20:00:00Z';0.79;17.9
'2018-05-10T21:00:00Z';0.81;16.5
'2018-05-10T22:00:00Z';0.85;15.9
'2018-05-10T23:00:00Z';0.90;15.1
'2018-05-11T00:00:00Z';0.88;15.1
'2018-05-11T01:00:00Z';0.90;14.9
'2018-05-11T02:00:00Z';0.88;15.4
'2018-05-11T03:00:00Z';0.89;15.2
'2018-05-11T04:00:00Z';0.86;15.2
'2018-05-11T05:00:00Z';0.80;15.8
'2018-05-11T06:00:00Z';0.76;16.3
'2018-05-11T07:00:00Z';0.76;16.6
'2018-05-11T08:00:00Z';0.76;16.9
'2018-05-11T09:00:00Z';0.68;18.8
'2018-05-11T10:00:00Z';0.64;19.4
'2018-05-11T11:00:00Z';0.67;18.8
'2018-05-11T12:00:00Z';0.64;19.7
'2018-05-11T13:00:00Z';0.61;20.6
'2018-05-11T14:00:00Z';0.60;21.9
'2018-05-11T15:00:00Z';0.54;22.5
'2018-05-11T16:00:00Z';0.48;23.1
'2018-05-11T17:00:00Z';0.51;23.7
'2018-05-11T18:00:00Z';0.51;23.4
'2018-05-11T19:00:00Z';0.53;22.6
'2018-05-11T20:00:00Z';0.58;20.8
'2018-05-11T21:00:00Z';0.69;18.8
'2018-05-11T22:00:00Z';0.74;17.5
'2018-05-11T23:00:00Z';0.78;16.5
'2018-05-12T00:00:00Z';0.79;16.2
'2018-05-12T01:00:00Z';0.84;15.5
'2018-05-12T02:00:00Z';0.89;14.6
'2018-05-12T03:00:00Z';0.90;14.5
'2018-05-12T04:00:00Z';0.92;14.1
'2018-05-12T05:00:00Z';0.94;13.6
'2018-05-12T06:00:00Z';0.94;13.5
'2018-05-12T07:00:00Z';0.88;15.2
'2018-05-12T08:00:00Z';0.80;17.0
'2018-05-12T09:00:00Z';0.75;18.8
'2018-05-12T10:00:00Z';0.68;20.6
'2018-05-12T11:00:00Z';0.61;22.2
'2018-05-12T12:00:00Z';0.54;23.4
'2018-05-12T13:00:00Z';0.52;24.5
'2018-05-12T14:00:00Z';0.50;25.0
'2018-05-12T15:00:00Z';0.50;25.3
'2018-05-12T16:00:00Z';0.49;24.5
'2018-05-12T17:00:00Z';0.50;24.1
'2018-05-12T18:00:00Z';0.51;23.3
'2018-05-12T19:00:00Z';0.63;22.0
'2018-05-12T20:00:00Z';0.67;20.9
'2018-05-12T21:00:00Z';0.73;19.6
'2018-05-12T22:00:00Z';0.75;18.9
'2018-05-12T23:00:00Z';0.77;18.4
'2018-05-13T00:00:00Z';0.79;17.2
'2018-05-13T01:00:00Z';0.78;17.2
'2018-05-13T02:00:00Z';0.82;16.4
'2018-05-13T03:00:00Z';0.87;15.1
'2018-05-13T04:00:00Z';0.87;14.7
'2018-05-13T05:00:00Z';0.91;14.1
'2018-05-13T06:00:00Z';0.91;14.3
'2018-05-13T07:00:00Z';0.86;15.7
'2018-05-13T08:00:00Z';0.71;17.7
'2018-05-13T09:00:00Z';0.61;19.2
'2018-05-13T10:00:00Z';0.54;20.6
'2018-05-13T11:00:00Z';0.49;21.7
'2018-05-13T12:00:00Z';0.45;22.7
'2018-05-13T13:00:00Z';0.45;23.2
'2018-05-13T14:00:00Z';0.45;24.3
'2018-05-13T15:00:00Z';0.43;24.6
'2018-05-13T16:00:00Z';0.43;25.1
'2018-05-13T17:00:00Z';0.42;24.8
'2018-05-13T18:00:00Z';0.41;24.6
'2018-05-13T19:00:00Z';0.42;23.2
'2018-05-13T20:00:00Z';0.44;22.2
'2018-05-13T21:00:00Z';0.46;21.3
'2018-05-13T22:00:00Z';0.56;19.8
'2018-05-13T23:00:00Z';0.65;18.4
'2018-05-14T00:00:00Z';0.73;17.0
'2018-05-14T01:00:00Z';0.72;17.0
'2018-05-14T02:00:00Z';0.79;15.6
'2018-05-14T03:00:00Z';0.74;14.8
'2018-05-14T04:00:00Z';0.70;14.1
'2018-05-14T05:00:00Z';0.71;13.8
'2018-05-14T06:00:00Z';0.66;14.2
'2018-05-14T07:00:00Z';0.62;15.7
'2018-05-14T08:00:00Z';0.58;17.0
'2018-05-14T09:00:00Z';0.54;18.3
'2018-05-14T10:00:00Z';0.49;19.9
'2018-05-14T11:00:00Z';0.48;20.7
'2018-05-14T12:00:00Z';0.49;20.9
'2018-05-14T13:00:00Z';0.49;21.1
'2018-05-14T14:00:00Z';0.50;20.9
'2018-05-14T15:00:00Z';0.51;20.7
'2018-05-14T16:00:00Z';0.50;20.9
'2018-05-14T17:00:00Z';0.53;19.5
'2018-05-14T18:00:00Z';0.56;18.8
'2018-05-14T19:00:00Z';0.56;18.1
'2018-05-14T20:00:00Z';0.57;17.7
'2018-05-14T21:00:00Z';0.62;17.0
'2018-05-14T22:00:00Z';0.65;16.8
'2018-05-14T23:00:00Z';0.69;16.1
'2018-05-15T00:00:00Z';0.71;16.0
'2018-05-15T01:00:00Z';0.67;16.2
'2018-05-15T02:00:00Z';0.76;14.8
'2018-05-15T03:00:00Z';0.87;13.3
'2018-05-15T04:00:00Z';0.91;12.7
'2018-05-15T05:00:00Z';0.94;12.4
'2018-05-15T06:00:00Z';0.90;12.3
'2018-05-15T07:00:00Z';0.90;12.2
'2018-05-15T08:00:00Z';0.91;12.0
'2018-05-15T09:00:00Z';0.90;12.2
'2018-05-15T10:00:00Z';0.90;12.2
'2018-05-15T11:00:00Z';0.88;12.1
'2018-05-15T12:00:00Z';0.90;12.4
'2018-05-15T13:00:00Z';0.90;12.5
'2018-05-15T14:00:00Z';0.90;12.5
'2018-05-15T15:00:00Z';0.89;12.0
'2018-05-15T16:00:00Z';0.88;12.3
'2018-05-15T17:00:00Z';0.82;12.6
'2018-05-15T18:00:00Z';0.84;12.6
'2018-05-15T19:00:00Z';0.86;12.2
'2018-05-15T20:00:00Z';0.88;11.6
'2018-05-15T21:00:00Z';0.90;10.9
'2018-05-15T22:00:00Z';0.91;10.6
'2018-05-15T23:00:00Z';0.92;10.4
'2018-05-16T00:00:00Z';0.93;10.7
'2018-05-16T01:00:00Z';0.94;10.8
'2018-05-16T02:00:00Z';0.92;11.2
'2018-05-16T03:00:00Z';0.91;11.2
'2018-05-16T04:00:00Z';0.89;11.3
'2018-05-16T05:00:00Z';0.91;11.0
'2018-05-16T06:00:00Z';0.91;11.1
'2018-05-16T07:00:00Z';0.85;12.1
'2018-05-16T08:00:00Z';0.81;13.2
'2018-05-16T09:00:00Z';0.76;14.5
'2018-05-16T10:00:00Z';0.71;15.7
'2018-05-16T11:00:00Z';0.68;16.2
'2018-05-16T12:00:00Z';0.65;17.7
'2018-05-16T13:00:00Z';0.58;18.2
'2018-05-16T14:00:00Z';0.57;18.6
'2018-05-16T15:00:00Z';0.57;19.0
'2018-05-16T16:00:00Z';0.53;18.3
'2018-05-16T17:00:00Z';0.54;18.0
'2018-05-16T18:00:00Z';0.57;17.3
'2018-05-16T19:00:00Z';0.63;16.8
'2018-05-16T20:00:00Z';0.67;15.8
'2018-05-16T21:00:00Z';0.70;14.8
'2018-05-16T22:00:00Z';0.72;14.1
'2018-05-16T23:00:00Z';0.73;13.9
'2018-05-17T00:00:00Z';0.71;14.0
'2018-05-17T01:00:00Z';0.71;13.9
'2018-05-17T02:00:00Z';0.76;12.9
'2018-05-17T03:00:00Z';0.77;12.9
'2018-05-17T04:00:00Z';0.78;12.7
'2018-05-17T05:00:00Z';0.79;12.6
'2018-05-17T06:00:00Z';0.75;13.3
'2018-05-17T07:00:00Z';0.75;13.6
'2018-05-17T08:00:00Z';0.75;14.1
'2018-05-17T09:00:00Z';0.71;15.1
'2018-05-17T10:00:00Z';0.72;15.0
'2018-05-17T11:00:00Z';0.70;15.6
'2018-05-17T12:00:00Z';0.79;15.0
'2018-05-17T13:00:00Z';0.86;14.2
'2018-05-17T14:00:00Z';0.85;14.4
'2018-05-17T15:00:00Z';0.81;15.4
'2018-05-17T16:00:00Z';0.80;15.5
'2018-05-17T17:00:00Z';0.76;15.8
'2018-05-17T18:00:00Z';0.78;15.6
'2018-05-17T19:00:00Z';0.81;15.0
'2018-05-17T20:00:00Z';0.81;14.9
'2018-05-17T21:00:00Z';0.79;15.0
'2018-05-17T22:00:00Z';0.79;15.1
'2018-05-17T23:00:00Z';0.81;15.1
'2018-05-18T00:00:00Z';0.80;14.8
'2018-05-18T01:00:00Z';0.78;15.0
'2018-05-18T02:00:00Z';0.76;15.1
'2018-05-18T03:00:00Z';0.79;14.5
'2018-05-18T04:00:00Z';0.79;14.4
'2018-05-18T05:00:00Z';0.81;14.0
'2018-05-18T06:00:00Z';0.80;14.0
'2018-05-18T07:00:00Z';0.81;14.1
'2018-05-18T08:00:00Z';0.77;15.2
'2018-05-18T09:00:00Z';0.69;16.5
'2018-05-18T10:00:00Z';0.69;17.3
'2018-05-18T11:00:00Z';0.65;18.7
'2018-05-18T12:00:00Z';0.63;19.4
'2018-05-18T13:00:00Z';0.58;20.5
'2018-05-18T14:00:00Z';0.60;20.2
'2018-05-18T15:00:00Z';0.55;21.5
'2018-05-18T16:00:00Z';0.52;21.4
'2018-05-18T17:00:00Z';0.58;20.8
'2018-05-18T18:00:00Z';0.59;20.2
'2018-05-18T19:00:00Z';0.75;16.6
'2018-05-18T20:00:00Z';0.68;15.6
'2018-05-18T21:00:00Z';0.64;16.1
'2018-05-18T22:00:00Z';0.64;15.9
'2018-05-18T23:00:00Z';0.60;16.2
'2018-05-19T00:00:00Z';0.66;15.5
'2018-05-19T01:00:00Z';0.72;15.1
'2018-05-19T02:00:00Z';0.76;13.9
'2018-05-19T03:00:00Z';0.84;12.5
'2018-05-19T04:00:00Z';0.82;12.7
'2018-05-19T05:00:00Z';0.83;12.8
'2018-05-19T06:00:00Z';0.86;12.8
'2018-05-19T07:00:00Z';0.80;14.4
'2018-05-19T08:00:00Z';0.72;15.5
'2018-05-19T09:00:00Z';0.70;16.5
'2018-05-19T10:00:00Z';0.70;16.9
'2018-05-19T11:00:00Z';0.67;17.7
'2018-05-19T12:00:00Z';0.64;19.1
'2018-05-19T13:00:00Z';0.59;20.1
'2018-05-19T14:00:00Z';0.56;20.4
'2018-05-19T15:00:00Z';0.52;21.3
'2018-05-19T16:00:00Z';0.49;21.8
'2018-05-19T17:00:00Z';0.47;22.4
'2018-05-19T18:00:00Z';0.50;21.7
'2018-05-19T19:00:00Z';0.56;20.2
'2018-05-19T20:00:00Z';0.62;18.3
'2018-05-19T21:00:00Z';0.66;17.4
'2018-05-19T22:00:00Z';0.69;16.5
'2018-05-19T23:00:00Z';0.68;16.1
'2018-05-20T00:00:00Z';0.70;15.5
'2018-05-20T01:00:00Z';0.67;15.3
'2018-05-20T02:00:00Z';0.63;14.9
'2018-05-20T03:00:00Z';0.61;14.5
'2018-05-20T04:00:00Z';0.62;13.9
'2018-05-20T05:00:00Z';0.63;13.4
'2018-05-20T06:00:00Z';0.64;13.3
'2018-05-20T07:00:00Z';0.64;14.0
'2018-05-20T08:00:00Z';0.63;14.7
'2018-05-20T09:00:00Z';0.62;16.2
'2018-05-20T10:00:00Z';0.59;17.1
'2018-05-20T11:00:00Z';0.54;18.4
'2018-05-20T12:00:00Z';0.51;19.9
'2018-05-20T13:00:00Z';0.46;20.9
'2018-05-20T14:00:00Z';0.46;21.7
'2018-05-20T15:00:00Z';0.40;22.2
'2018-05-20T16:00:00Z';0.31;22.7
'2018-05-20T17:00:00Z';0.34;23.0
'2018-05-20T18:00:00Z';0.41;22.7
'2018-05-20T19:00:00Z';0.46;21.0
'2018-05-20T20:00:00Z';0.46;19.4
'2018-05-20T21:00:00Z';0.60;17.1
'2018-05-20T22:00:00Z';0.63;16.8
'2018-05-20T23:00:00Z';0.67;16.3
'2018-05-21T00:00:00Z';0.65;16.0
'2018-05-21T01:00:00Z';0.70;14.8
'2018-05-21T02:00:00Z';0.74;14.0
'2018-05-21T03:00:00Z';0.80;12.9
'2018-05-21T04:00:00Z';0.82;12.4
'2018-05-21T05:00:00Z';0.85;11.8
'2018-05-21T06:00:00Z';0.85;11.9
'2018-05-21T07:00:00Z';0.81;13.2
'2018-05-21T08:00:00Z';0.72;15.7
'2018-05-21T09:00:00Z';0.65;16.9
'2018-05-21T10:00:00Z';0.56;19.2
'2018-05-21T11:00:00Z';0.52;20.1
'2018-05-21T12:00:00Z';0.48;21.2
'2018-05-21T13:00:00Z';0.45;22.1
'2018-05-21T14:00:00Z';0.44;22.8
'2018-05-21T15:00:00Z';0.42;22.5
'2018-05-21T16:00:00Z';0.43;22.0
'2018-05-21T17:00:00Z';0.46;21.7
'2018-05-21T18:00:00Z';0.51;20.9
'2018-05-21T19:00:00Z';0.49;20.7
'2018-05-21T20:00:00Z';0.49;20.4
'2018-05-21T21:00:00Z';0.61;18.2
'2018-05-21T22:00:00Z';0.69;16.6
'2018-05-21T23:00:00Z';0.74;15.1
'2018-05-22T00:00:00Z';0.77;14.6
'2018-05-22T01:00:00Z';0.78;14.6
'2018-05-22T02:00:00Z';0.76;14.8
'2018-05-22T03:00:00Z';0.82;13.5
'2018-05-22T04:00:00Z';0.86;12.9
'2018-05-22T05:00:00Z';0.90;12.2
'2018-05-22T06:00:00Z';0.92;12.9
'2018-05-22T07:00:00Z';0.78;14.1
'2018-05-22T08:00:00Z';0.73;15.8
'2018-05-22T09:00:00Z';0.69;18.4
'2018-05-22T10:00:00Z';0.63;19.9
'2018-05-22T11:00:00Z';0.60;21.6
'2018-05-22T12:00:00Z';0.56;23.1
'2018-05-22T13:00:00Z';0.47;23.8
'2018-05-22T14:00:00Z';0.48;24.0
'2018-05-22T15:00:00Z';0.46;24.6
'2018-05-22T16:00:00Z';0.48;24.2
'2018-05-22T17:00:00Z';0.51;23.7
'2018-05-22T18:00:00Z';0.52;22.3
'2018-05-22T19:00:00Z';0.57;21.4
'2018-05-22T20:00:00Z';0.61;20.9
'2018-05-22T21:00:00Z';0.66;19.7
'2018-05-22T22:00:00Z';0.70;19.3
'2018-05-22T23:00:00Z';0.75;18.2
'2018-05-23T00:00:00Z';0.80;17.7
'2018-05-23T01:00:00Z';0.79;18.0
'2018-05-23T02:00:00Z';0.82;17.1
'2018-05-23T03:00:00Z';0.84;16.4
'2018-05-23T04:00:00Z';0.89;15.2
